Date,Harvest - AI ,Harvest - Expert,Cumulative Marketable Yield - AI ,Cumulative Marketable Yield - Expert ,Blossom End Rot - AI ,Blossom End Rot - Expert,Cracked - AI ,Cracked - Expert,Fruit weight - AI ,Fruit Weight - Expert
2025-06-09 00:00:00,0.6551569,0.7450007,0.6551569,0.7450007,0,,0.000747769,0,22.9869,21.79
2025-06-16 00:00:00,0.5955943,0.6389069,1.2507512,1.3839076,0,,0.00111384,0,23.9546,22.37082
2025-06-23 00:00:00,0.7628117,0.74491481,2.0135629,2.12882241,0,0,0,0.001036459,24.8024,21.97261
2025-06-30 00:00:00,0.96199102,1.11357214,2.97555392,3.24239455,0,0,0.000617992,0.000771916,23.2313,21.77744
2025-07-07 00:00:00,1.27253607,1.2683109,4.24808999,4.51070545,0,0.000480879,0.000280267,0.000603803,20.061,19.44365
2025-07-14 00:00:00,1.5409,1.412554,5.78898999,5.92325945,0.000470333,0.009393951,0.001474769,0.001228837,18.3119,18.3658
2025-07-21 00:00:00,1.1985353,1.2954132,6.98752529,7.21867265,0.001984632,0.012590249,0.002944729,0.006053346,17.6622,17.28
2025-07-28 00:00:00,2.4397439,2.2463716,9.42726919,9.46504425,0.006569915,0.01485911,0.016824115,0.02508816,14.4626,14.68537
